,ticker,name,market,active
17,STRATUSD,Stratis,crypto,True
18,STRUSD,StarCoin,crypto,True
19,STUUSD,Student Coin,crypto,True
20,STXUSD,Stox,crypto,True
21,SUBUSD,Substratum,crypto,True
22,SUKUUSD,SUKU,crypto,True
23,SURUSD,Suretly,crypto,True
24,SUSHIUSD,Sushi,crypto,True
25,SWFTCUSD,SwiftCoin,crypto,True
26,TDSUSD,TokenDesk,crypto,True
27,THETAUSD,Theta Token,crypto,True
28,TIVUSD,TrakInvest,crypto,True
29,TKAUSD,Tokia,crypto,True
30,TKNUSD,TokenCard,crypto,True
31,TLOSUSD,Telos,crypto,True
32,TNBUSD,Time New Bank,crypto,True
33,TNTUSD,Tierion,crypto,True
34,TRACUSD,OriginTrail,crypto,True
35,TRBUSD,Tellor,crypto,True
36,TRIBEUSD,Tribe,crypto,True
37,TRUUSD,TrueFi,crypto,True
38,TRXUSD,TRON,crypto,True
39,TSDUSD,TrueUSD,crypto,True
40,TUSDUSD,TrueUSD,crypto,True
41,UDCUSD,Universal Digital Coin,crypto,True
42,UMAUSD,UMA,crypto,True
43,UNIUSD,Uniswap,crypto,True
44,UOSUSD,Ultra,crypto,True
45,USDCUSD,USD Coin,crypto,True
46,USDTUSD,Tether,crypto,True
47,USTUSD,TerraUST,crypto,True
48,UTKUSD,UTrust,crypto,True
49,UTTUSD,United Traders Token,crypto,True
50,VEEUSD,BLOCKv,crypto,True
51,VELOUSD,Velo,crypto,True
52,VETUSD,VeChain,crypto,True
53,VGXUSD,Voyager Token,crypto,True
54,VIBUSD,Viberate,crypto,True
55,VLDUSD,Vetri,crypto,True
56,VOCOUSD,Provoco,crypto,True
57,VSYUSD,VSY,crypto,True
58,WAVESUSD,Waves,crypto,True
59,WAXUSD,Wax,crypto,True
60,WBTCUSD,Wrapped Bitcoin,crypto,True
61,WICCUSD,WaykiChain,crypto,True
62,WIKIUSD,Wiki,crypto,True
63,WIZUSD,CrowdWiz,crypto,True
64,WLOUSD,Pigzbe,crypto,True
65,WLUNAUSD,Wrapped LUNA Token,crypto,True
66,WPRUSD,WePower,crypto,True
67,AUTUSD,Tether Gold,crypto,True
68,DCUSD,XDC Network,crypto,True
69,DNUSD,DigitalNote,crypto,True
70,EMUSD,NEM,crypto,True
71,XLMUSD,Stellar,crypto,True
72,MOUSD,Monero Original,crypto,True
73,MRUSD,Monero,crypto,True
74,RAUSD,Ratecoin,crypto,True
75,RDUSD,Radix,crypto,True
78,XRPUSD,Ripple,crypto,True
79,SNUSD,Stakenet,crypto,True
80,TZUSD,Tezos,crypto,True
81,UCUSD,Exchange Union,crypto,True
82,VGUSD,Verge,crypto,True
83,YOUSD,XYO,crypto,True
84,YFIUSD,yearn.finance,crypto,True
85,YGGUSD,YggDrash,crypto,True
86,YYWUSD,YOYOW,crypto,True
87,ZAPUSD,Zap,crypto,True
88,ZCNUSD,0chain,crypto,True
89,ZECUSD,Zcash,crypto,True
90,ZENUSD,Horizen,crypto,True
91,ZILUSD,Zilliqa,crypto,True
92,ZMTUSD,Zipmex,crypto,True
93,ZRXUSD,0x,crypto,True
94,ZSCUSD,Zeusshield,crypto,True
